Id	WT30_a	WT30_b	WT30_c	Fluco_a	Fluco_b	Fluco_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.Fluco_a	norm.Fluco_b	norm.Fluco_c	baseMean	WT	Fluco	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_02229	2024	1486	1485	1364	980	1642	1185	1492	1393	1601	1800	1345	1469.55	1357	1582	1.165	0.22	0.221054870248923	0.550267191633285	0.016	0.0315	0.0226	0.0226	TRUE	0.2098
CNAG_02230	51404	26386	18491	24308	23610	21083	30105	26500	17351	28526	43374	17270	27187.64	24652	29723	1.206	0.27	0.417361697761932	0.715537101320851	0.1266	0.0284	0.0797	0.0797	TRUE	0.2261
CNAG_02231	2149	1035	1304	1432	984	1879	1259	1039	1224	1681	1808	1539	1424.84	1174	1676	1.425	0.511	0.000899182597412418	0.0317197838921452	0.0072	0.0316	0.0164	0.0164	TRUE	0.1194
CNAG_02232	2662	1678	1792	1761	1053	2189	1559	1685	1682	2067	1934	1793	1786.65	1642	1931	1.176	0.234	0.078458684221869	0.353534720364597	0.0031	0.0309	0.0122	0.0122	TRUE	0.0489
CNAG_02233	4187	3392	2779	2708	1775	3583	2452	3407	2608	3178	3261	2935	2973.37	2822	3125	1.107	0.147	0.403285564556953	0.704313306502257	0.0159	0.0298	0.0219	0.0219	TRUE	0.398
CNAG_02234	93683	32531	40638	26648	11594	42827	54866	32671	38133	31272	21299	35081	35553.78	41890	29217	0.698	-0.52	0.0456380730662781	0.271574181293743	0.0677	0.0283	0.0487	0.0487	TRUE	0.7478
CNAG_02235	723	541	768	223	94	592	423	543	721	262	173	485	434.45	562	307	0.548	-0.868	0.0189242239246804	0.174640881656501	0.1604	0.0393	0.0957	0.0957	TRUE	0.8173
CNAG_02236	4721	2825	2990	2437	1653	3494	2765	2837	2806	2860	3037	2862	2861.07	2803	2920	1.041	0.059	0.607156617824485	0.835674715414817	2e-04	0.0299	0.009	0.009	TRUE	0.0146
CNAG_02237	14290	11048	9722	10846	7607	10726	8369	11096	9123	12728	13975	8786	10679.39	9529	11830	1.241	0.312	0.153842105227217	0.464273862724053	0.037	0.0287	0.0344	0.0344	TRUE	0.6203
CNAG_02238	2109	1411	1276	1052	768	1403	1235	1417	1197	1235	1411	1149	1274.04	1283	1265	0.984	-0.023	0.886737929204798	0.960281831406485	0.0085	0.032	0.0172	0.0172	TRUE	0.1183
CNAG_02239	10710	7854	8492	7987	5557	9781	6272	7888	7968	9373	10209	8012	8287.08	7376	9198	1.247	0.318	0.0635576904619592	0.321265231587001	0.0155	0.0288	0.0211	0.0211	TRUE	0.2099
CNAG_02240	5915	4326	4124	4067	2727	4663	3464	4345	3870	4773	5010	3820	4213.46	3893	4534	1.164	0.22	0.205137048807142	0.533306211984364	0.0157	0.0294	0.0214	0.0214	TRUE	0.2328
CNAG_02253	2	4	1	0	0	2	1	4	1	0	0	2	1.29	2	1	0.336	-1.575	0.450220690327961	NA	0	3.7412	2.119	2.119	TRUE	0.7739
CNAG_02254	199	98	113	80	58	147	117	98	106	94	107	120	106.97	107	107	1	0	0.998788119516924	0.99910107208453	0	0.0731	0.034	0.034	TRUE	0.1412
CNAG_02255	592	269	237	259	215	331	347	270	222	304	395	271	301.55	280	323	1.148	0.199	0.428041339172117	0.722454123873637	0.0402	0.0441	0.042	0.042	TRUE	0.4372
CNAG_02257	23566	13778	17176	11474	7588	14803	13802	13837	16117	13465	13940	12126	13881.13	14585	13177	0.903	-0.147	0.294024361817917	0.619603451110024	0.0066	0.0286	0.014	0.014	TRUE	0.1032
CNAG_02258	2422	2189	2448	1514	1054	2263	1418	2198	2297	1777	1936	1854	1913.45	1971	1856	0.942	-0.087	0.685837104105097	0.875030426682069	0.034	0.0307	0.0326	0.0326	TRUE	0.7357
CNAG_02259	2645	1443	1749	879	504	1486	1549	1449	1641	1032	926	1217	1302.35	1546	1058	0.686	-0.544	0.000904262180802959	0.031723703430917	0.0104	0.0319	0.0185	0.0185	TRUE	0.2099
CNAG_02260	2893	2034	2724	1784	1199	2540	1694	2043	2556	2094	2203	2081	2111.67	2098	2126	1.014	0.019	0.918011635424698	0.972540947766168	0.0214	0.0305	0.0251	0.0251	TRUE	0.3227
CNAG_02261	3512	2245	2413	2080	1468	3101	2057	2255	2264	2441	2697	2540	2375.62	2192	2559	1.167	0.223	0.0784209262944156	0.353534720364597	0.0021	0.0302	0.0112	0.0112	TRUE	0.0358
CNAG_02262	9205	6360	4803	5088	3787	5409	5391	6387	4507	5971	6957	4431	5607.34	5428	5786	1.066	0.092	0.679161448057488	0.8709471471876	0.0401	0.0291	0.0352	0.0352	TRUE	0.3271
CNAG_02263	26706	16207	13791	16204	14221	13669	15640	16277	12941	19016	26125	11197	16866.05	14953	18779	1.256	0.329	0.255437949563425	0.585931952825912	0.086	0.0285	0.0601	0.0601	TRUE	0.1688
CNAG_02264	666	372	265	249	229	403	390	374	249	292	421	330	342.56	338	348	1.026	0.037	0.883111838386849	0.958305419459556	0.0427	0.0422	0.0424	0.0424	TRUE	0.6026
CNAG_02265	7188	4755	4738	3841	2030	5329	4210	4776	4446	4508	3729	4365	4338.86	4477	4201	0.939	-0.091	0.524821480924539	0.789767889630729	0.0063	0.0293	0.0145	0.0145	TRUE	0.1156
CNAG_02266	10236	4724	5110	4264	2406	5678	5995	4744	4795	5004	4420	4651	4934.86	5178	4692	0.906	-0.142	0.363529329768984	0.673440248130427	0.011	0.0292	0.0175	0.0175	TRUE	0.2331
CNAG_02267	3617	1205	1237	1082	546	1730	2118	1210	1161	1270	1003	1417	1363.2	1496	1230	0.822	-0.283	0.300633548368355	0.624737977497807	0.0784	0.0317	0.0529	0.0529	TRUE	1.6066
CNAG_02268	727	373	502	328	152	533	426	375	471	385	279	437	395.36	424	367	0.87	-0.2	0.36903935502714	0.678037633876339	0.026	0.0404	0.0331	0.0331	TRUE	0.4541
CNAG_02269	2247	1295	1440	1430	898	1737	1316	1301	1351	1678	1650	1423	1453.08	1323	1584	1.196	0.258	0.0614584555869536	0.3167168998569	0.0037	0.0315	0.013	0.013	TRUE	0.0977
CNAG_02270	1097	545	608	273	133	439	642	547	571	320	244	360	447.44	587	308	0.528	-0.921	5.31310981847583e-06	0.000807719195023051	0.018	0.039	0.0267	0.0267	TRUE	0.328
CNAG_02280	1692	886	1269	868	579	1211	991	890	1191	1019	1064	992	1024.3	1024	1025	1	0.001	0.997435766244714	0.99868705778148	0.0107	0.0329	0.0191	0.0191	TRUE	0.2415
CNAG_02281	2142	1313	1556	949	604	1700	1254	1319	1460	1114	1110	1393	1274.84	1344	1206	0.898	-0.155	0.348619936817658	0.662678861738835	0.0109	0.032	0.0189	0.0189	TRUE	0.226
CNAG_02282	6206	4118	3484	4168	3343	4251	3635	4136	3269	4891	6141	3482	4259.07	3680	4838	1.314	0.394	0.0884249902115222	0.376175038557589	0.0444	0.0293	0.0383	0.0383	TRUE	0.1681
CNAG_02283	901	131	142	178	154	302	528	132	133	209	283	247	255.28	264	246	0.929	-0.105	0.831501869991041	0.940742293219197	0.3254	0.047	0.1729	0.1729	TRUE	8.8404
CNAG_02284	1232	569	512	481	428	738	722	571	480	564	786	605	621.45	591	652	1.099	0.136	0.548157797176842	0.806222261331319	0.0346	0.0359	0.0352	0.0352	TRUE	0.4272
CNAG_02285	38491	23546	26155	15262	8544	22647	22542	23648	24542	17911	15696	18551	20481.69	23577	17386	0.738	-0.439	0.000814292013935503	0.0296431924306334	0.0045	0.0284	0.0124	0.0124	TRUE	0.0881
CNAG_02286	2891	2136	2029	1662	814	2281	1693	2145	1904	1950	1495	1868	1842.75	1914	1771	0.927	-0.11	0.534287180860814	0.795945788566565	0.016	0.0308	0.0219	0.0219	TRUE	0.2182
CNAG_02287	1014	507	630	515	254	789	594	509	591	604	467	646	568.58	565	572	1.017	0.024	0.899202741587534	0.965318042675285	0.015	0.0367	0.024	0.024	TRUE	0.2846
CNAG_02288	564	411	353	224	188	381	330	413	331	263	345	312	332.44	358	307	0.855	-0.225	0.263410740646765	0.589925492469167	0.0134	0.0427	0.026	0.026	TRUE	0.2014
CNAG_02289	1189	593	658	624	536	868	696	596	617	732	985	711	722.89	636	809	1.267	0.341	0.0749148076770569	0.3450961569067	0.0191	0.0349	0.025	0.025	TRUE	0.4083
CNAG_02290	2766	2178	2663	1763	1093	2442	1620	2187	2499	2069	2008	2000	2063.89	2102	2026	0.964	-0.053	0.78604162176006	0.917128680466458	0.0238	0.0305	0.0266	0.0266	TRUE	0.4291
CNAG_02291	1434	620	711	578	322	899	840	623	667	678	592	736	689.32	710	669	0.943	-0.085	0.655196518784824	0.861497070107311	0.0174	0.0352	0.0246	0.0246	TRUE	0.3112
CNAG_02292	8115	2251	2413	1931	1132	2709	4753	2261	2264	2266	2080	2219	2640.38	3093	2188	0.707	-0.499	0.0919847061831922	0.383119601421841	0.1085	0.03	0.0629	0.0629	TRUE	2.6904
CNAG_02293	1386	791	925	788	451	1311	812	794	868	925	829	1074	883.54	825	943	1.146	0.196	0.227047547691865	0.55714780630767	0.008	0.0336	0.0178	0.0178	TRUE	0.1807
CNAG_02294	7783	3851	3958	2599	1165	3861	4558	3868	3714	3050	2140	3163	3415.44	4047	2784	0.689	-0.538	0.00695007135854302	0.102042440758799	0.026	0.0296	0.0283	0.0283	TRUE	0.4894
CNAG_02295	490	372	375	341	257	462	287	374	352	400	472	378	377.2	338	417	1.234	0.303	0.120390547490898	0.422463716394651	0.0135	0.041	0.0247	0.0247	TRUE	0.2077
CNAG_02296	2839	1451	1716	1402	842	1964	1663	1457	1610	1645	1547	1609	1588.51	1577	1600	1.015	0.021	0.870183712516869	0.953349863490084	0.0023	0.0312	0.0117	0.0117	TRUE	0.0526
CNAG_02297	1856	1233	1220	1825	1510	2652	1087	1238	1145	2142	2774	2172	1759.69	1157	2363	2.041	1.03	6.82686814213171e-10	3.11353950625079e-07	0.0126	0.0309	0.0194	0.0194	TRUE	0.2759
CNAG_02298	10228	5912	3623	5430	4429	5518	5990	5937	3400	6372	8136	4520	5726	5109	6343	1.241	0.312	0.277100581413096	0.603687583288656	0.0804	0.0291	0.0591	0.0591	TRUE	0.2167
