Id	WT30_a	WT30_b	WT30_c	Fluco_a	Fluco_b	Fluco_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.Fluco_a	norm.Fluco_b	norm.Fluco_c	baseMean	WT	Fluco	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_01954	266	189	119	196	277	359	156	190	112	230	509	294	248.37	153	344	2.25	1.17	0.000613059023925201	0.0250921914600155	0.1159	0.0476	0.0794	0.0794	TRUE	0.6171
CNAG_03243	1118	553	604	745	683	1009	655	555	567	874	1255	827	788.74	592	985	1.658	0.729	0.00061099232354355	0.0250921914600155	0.0306	0.0343	0.0313	0.0313	TRUE	0.6626
CNAG_03230	353	254	231	264	251	458	207	255	217	310	461	375	304.11	226	382	1.686	0.753	0.000617930961095184	0.0251305043732022	0.0208	0.044	0.0314	0.0314	TRUE	0.1608
CNAG_07639	3597	2032	2227	2645	1513	3218	2107	2041	2090	3104	2780	2636	2459.43	2079	2840	1.366	0.45	0.000625551533576917	0.0252794084929659	0.0031	0.0302	0.012	0.012	TRUE	0.081
CNAG_02008	9830	4817	5385	6391	3675	9040	5757	4838	5053	7500	6751	7405	6217.36	5216	7219	1.384	0.469	0.000647050112951033	0.0256054405604739	0.0056	0.029	0.0134	0.0134	TRUE	0.1009
CNAG_03531	960	605	722	728	511	1047	562	608	677	854	939	858	749.68	616	884	1.435	0.521	0.000653670604754463	0.0256054405604739	0.0045	0.0346	0.0154	0.0154	TRUE	0.0909
CNAG_08002	5529	3031	3097	3648	2229	4787	3238	3044	2906	4281	4095	3921	3580.9	3063	4099	1.338	0.42	0.000660566895223163	0.0257178025975603	0.002	0.0296	0.0107	0.0107	TRUE	0.0308
CNAG_05578	3417	749	1204	2144	1497	3653	2001	752	1130	2516	2750	2992	2023.62	1294	2753	2.125	1.088	0.000714164055018159	0.0274466858097013	0.1253	0.0306	0.0739	0.0739	TRUE	1.5771
CNAG_01879	1929	1333	1356	1458	1088	2030	1130	1339	1272	1711	1999	1663	1518.92	1247	1791	1.435	0.522	0.00073240585378824	0.0278016788722925	0.0078	0.0314	0.0165	0.0165	TRUE	0.1213
CNAG_06242	3868	1897	2206	2670	1465	3555	2265	1905	2070	3133	2691	2912	2496.2	2080	2912	1.4	0.485	0.000743112647159836	0.0279104367771503	0.006	0.0301	0.0145	0.0145	TRUE	0.0743
CNAG_04253	2069	1305	1201	1789	1128	1818	1212	1311	1127	2099	2072	1489	1551.7	1217	1887	1.55	0.632	0.000785266829787366	0.0289822468681638	0.0185	0.0313	0.0249	0.0249	TRUE	0.417
CNAG_05965	1088	431	488	674	461	982	637	433	458	791	847	804	661.7	509	814	1.594	0.673	0.000815280825749556	0.0296431924306334	0.0222	0.0355	0.0275	0.0275	TRUE	0.5817
CNAG_06250	422	271	253	341	250	411	247	272	237	400	459	337	325.47	252	399	1.574	0.655	0.000817102876709708	0.0296431924306334	0.0114	0.043	0.0243	0.0243	TRUE	0.1415
CNAG_00583	10965	6639	6330	7422	4318	10703	6422	6668	5940	8710	7933	8767	7406.48	6343	8470	1.336	0.417	0.000864508295172735	0.0311857935857509	0.003	0.0289	0.0112	0.0112	TRUE	0.0377
CNAG_00933	683	180	297	476	337	623	400	181	279	559	619	510	424.58	287	563	1.956	0.968	0.000890602176116406	0.0315916383027958	0.0742	0.0395	0.0586	0.0586	TRUE	0.5482
CNAG_06460	5164	2520	2716	3337	2280	4228	3024	2531	2549	3916	4189	3463	3278.62	2701	3856	1.426	0.512	0.000890239972658169	0.0315916383027958	0.0094	0.0297	0.0168	0.0168	TRUE	0.134
CNAG_02231	2149	1035	1304	1432	984	1879	1259	1039	1224	1681	1808	1539	1424.84	1174	1676	1.425	0.511	0.000899182597412418	0.0317197838921452	0.0072	0.0316	0.0164	0.0164	TRUE	0.1194
CNAG_06899	10032	5010	5830	6439	4403	8409	5875	5032	5471	7556	8089	6888	6485.12	5459	7511	1.375	0.46	0.000960370866382824	0.0335080217587668	0.006	0.029	0.0138	0.0138	TRUE	0.0645
CNAG_04210	4117	2016	2646	3149	1737	3729	2411	2025	2483	3695	3191	3055	2809.96	2306	3314	1.437	0.523	0.000978648145268287	0.0339601543887936	0.0103	0.0299	0.0177	0.0177	TRUE	0.1375
CNAG_01739	2176	1132	1216	1416	878	1877	1274	1137	1141	1662	1613	1538	1394.09	1184	1604	1.353	0.437	0.00100995731044099	0.0346697711137942	0.0024	0.0317	0.012	0.012	TRUE	0.0547
CNAG_02361	5444	2608	2491	3773	1981	4980	3188	2619	2337	4428	3639	4079	3381.89	2715	4049	1.491	0.576	0.00103428451415585	0.0353150086785301	0.017	0.0296	0.0219	0.0219	TRUE	0.2845
CNAG_03437	960	370	584	626	441	1030	562	372	548	735	810	844	645.05	494	796	1.61	0.687	0.00105665439687991	0.0358869059791395	0.0258	0.0357	0.0301	0.0301	TRUE	0.5407
CNAG_02605	1974	1201	1155	1517	1005	1712	1156	1206	1084	1780	1846	1402	1412.49	1149	1676	1.458	0.544	0.00108646922210611	0.036704264461098	0.0116	0.0316	0.0192	0.0192	TRUE	0.251
CNAG_07337	1825	1032	963	1295	950	1538	1069	1036	904	1520	1745	1260	1255.62	1003	1508	1.501	0.586	0.00114430409645196	0.0382533070986688	0.0155	0.032	0.0226	0.0226	TRUE	0.1568
CNAG_00436	3052	1779	1723	2003	1324	2663	1787	1787	1617	2351	2432	2181	2025.86	1730	2321	1.341	0.423	0.00118650475237408	0.0392087406817043	0.0024	0.0306	0.0117	0.0117	TRUE	0.0396
CNAG_01183	2780	1946	1757	2269	1387	2707	1628	1954	1649	2663	2548	2217	2109.9	1744	2476	1.42	0.506	0.00119589642450267	0.0392087406817043	0.0091	0.0305	0.0171	0.0171	TRUE	0.1343
CNAG_00537	2266	1269	1148	1509	1238	1961	1327	1274	1077	1771	2274	1606	1555.05	1226	1884	1.534	0.617	0.00121782905382884	0.0392719116600867	0.0218	0.0313	0.0256	0.0256	TRUE	0.3901
CNAG_02674	2422	1602	1846	2125	1184	2531	1418	1609	1732	2494	2175	2073	1916.95	1586	2247	1.417	0.503	0.00130884867617967	0.0411674817606264	0.0089	0.0307	0.0171	0.0171	TRUE	0.1119
CNAG_05898	1259	376	563	830	588	1064	737	378	528	974	1080	872	761.51	548	975	1.776	0.829	0.0014272388397977	0.0438121153466745	0.058	0.0345	0.0472	0.0472	TRUE	0.5673
CNAG_02768	1547	582	553	1198	1321	981	906	585	519	1406	2427	804	1107.62	670	1546	2.303	1.204	0.00145584210525699	0.0444763246031859	0.1872	0.0325	0.102	0.102	TRUE	0.2019
CNAG_04107	1317	576	584	968	641	990	771	578	548	1136	1178	811	837.05	632	1042	1.642	0.715	0.00150211461223313	0.0450494832806573	0.035	0.034	0.0353	0.0353	TRUE	0.4568
CNAG_05186	609	344	381	430	269	576	357	345	358	505	494	472	421.71	353	490	1.386	0.471	0.00150375643150772	0.0450494832806573	0	0.0396	0.0134	0.0134	TRUE	0.0136
CNAG_01232	5631	2898	2555	3700	2206	4876	3298	2910	2397	4342	4053	3994	3499.11	2868	4130	1.439	0.525	0.00156243292573762	0.0461858066242349	0.013	0.0296	0.0196	0.0196	TRUE	0.2507
CNAG_05847	14132	6716	7256	9779	4921	13291	8276	6745	6809	11476	9040	10887	8872.27	7277	10468	1.439	0.525	0.00161022691178306	0.0473792572891005	0.0143	0.0288	0.0198	0.0198	TRUE	0.1769
CNAG_01211	9792	4826	5401	6416	4152	7846	5735	4847	5068	7529	7628	6427	6205.59	5217	7195	1.379	0.463	0.00166641455494871	0.0488076006116858	0.008	0.029	0.0155	0.0155	TRUE	0.1069
CNAG_05310	486	197	169	356	299	362	285	198	159	418	549	297	317.44	214	421	1.959	0.97	0.00168212247289374	0.0488197817701204	0.0853	0.0433	0.0652	0.0652	TRUE	0.1408
CNAG_06613	2934	1666	1992	1997	1252	2743	1718	1673	1869	2344	2300	2247	2025.2	1753	2297	1.31	0.389	0.00167862118737347	0.0488197817701204	0.0014	0.0306	0.0105	0.0105	TRUE	0.0399
CNAG_04531	6335	2114	2768	4101	3414	4710	3710	2123	2597	4813	6272	3858	3895.54	2810	4981	1.771	0.825	0.00175090552347845	0.049632397100586	0.0714	0.0294	0.0498	0.0498	TRUE	0.3145
CNAG_06712	3752	2510	2967	3040	2325	3897	2197	2521	2784	3568	4271	3192	3088.88	2501	3677	1.47	0.556	0.00173879508063669	0.049632397100586	0.0175	0.0298	0.0223	0.0223	TRUE	0.2407
