Id	WT30_a	WT30_b	WT30_c	WTST30_a	WTST30_b	WTST30_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.WTST30_a	norm.WTST30_b	norm.WTST30_c	baseMean	WT	WTST30	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_04733	3071	2279	2257	769	648	572	1181	1516	1395	1266	1225	1170	1292.18	1364	1220	0.896	-0.159	0.256639810888011	0.33255219854456	0.0087	0.0179	0.0132	0.0132	TRUE	0.169
CNAG_04734	2590	1453	1621	664	567	522	996	966	1002	1093	1072	1068	1032.89	988	1078	1.091	0.125	0.274918487775191	0.351930976889398	0	0.0188	0.0083	0.0083	TRUE	0.0044
CNAG_04735	11179	5622	3056	3808	3078	3051	4300	3739	1889	6268	5819	6242	4709.45	3309	6110	1.846	0.884	0.000282994080682183	0.000755654406927958	0.0872	0.0153	0.0425	0.0425	TRUE	1.7181
CNAG_04736	540	328	428	152	112	110	208	218	265	250	212	225	229.56	230	229	0.997	-0.004	0.985134425693018	0.988342857575364	0.0097	0.0348	0.0229	0.0229	TRUE	0.1957
CNAG_04737	50635	22122	12756	15001	13500	14038	19475	14713	7885	24690	25522	28721	20167.81	14024	26311	1.876	0.908	0.000340045724105273	0.000896339895862092	0.0895	0.0145	0.0462	0.0462	TRUE	0.6321
CNAG_04738	15618	9338	8002	2699	2434	2473	6007	6211	4946	4442	4602	5060	5211.21	5721	4701	0.822	-0.284	0.0317664541042546	0.0537799798812224	0.0091	0.0152	0.0123	0.0123	TRUE	0.1714
CNAG_04739	2047	1244	1452	384	332	301	787	827	897	632	628	616	731.28	837	625	0.747	-0.421	0.00150339255300687	0.0035060190405119	0.0023	0.0207	0.0108	0.0108	TRUE	0.0474
CNAG_04740	4251	2219	2092	940	810	790	1635	1476	1293	1547	1531	1616	1516.46	1468	1565	1.065	0.091	0.494464278829529	0.577357756310772	0.0072	0.0174	0.0121	0.0121	TRUE	0.1317
CNAG_04741	5334	3054	2622	2312	1999	1823	2052	2031	1621	3805	3779	3730	2836.3	1901	3771	1.983	0.988	6.34417457251611e-14	5.84164009211164e-13	0.0076	0.016	0.0121	0.0121	TRUE	0.2018
CNAG_04742	1017	634	766	217	181	174	391	422	473	357	342	356	390.27	429	352	0.821	-0.284	0.0774670404117451	0.11888454095797	0.0048	0.0263	0.0154	0.0154	TRUE	0.0985
CNAG_04743	8266	5628	5452	1450	1259	1102	3179	3743	3370	2387	2380	2255	2885.62	3431	2341	0.682	-0.551	2.48351803371637e-06	9.44489434034558e-06	0.0035	0.0159	0.0094	0.0094	TRUE	0.0773
CNAG_04744	14056	6324	4242	3636	3425	4125	5406	4206	2622	5985	6475	8440	5522.25	4078	6967	1.708	0.772	0.00104758882833634	0.00251844962385079	0.0757	0.0151	0.0398	0.0398	TRUE	0.4964
CNAG_04745	2419	1455	1674	453	404	387	930	968	1035	746	764	792	872.33	978	767	0.785	-0.35	0.00546852649732198	0.0112689002318702	0.0016	0.0197	0.0099	0.0099	TRUE	0.0315
CNAG_04746	8159	3672	3545	1008	896	864	3138	2442	2191	1659	1694	1768	2148.7	2590	1707	0.659	-0.603	0.000127842216457548	0.000363112615646606	0.0177	0.0165	0.0172	0.0172	TRUE	0.4186
CNAG_04747	2590	1538	1318	794	710	687	996	1023	815	1307	1342	1406	1148.08	945	1352	1.43	0.516	0.000210755210042849	0.000576154924752072	0.0078	0.0184	0.013	0.013	TRUE	0.1733
CNAG_04748	2393	1505	1522	525	452	429	920	1001	941	864	855	878	909.74	954	866	0.907	-0.14	0.24796776219007	0.322920354412395	0	0.0195	0.0092	0.0092	TRUE	0.0221
CNAG_04749	4508	3209	3485	892	809	705	1734	2134	2154	1468	1529	1442	1743.71	2007	1480	0.738	-0.439	0.00110763018882261	0.00265150469433091	0.0079	0.017	0.0123	0.0123	TRUE	0.1747
CNAG_04750	2958	917	825	283	261	282	1138	610	510	466	493	577	632.28	753	512	0.679	-0.558	0.0405839945554342	0.0668216061958644	0.0973	0.0217	0.0513	0.0513	TRUE	1.9726
CNAG_04751	1808	966	897	309	228	287	695	642	554	509	431	587	569.86	630	509	0.806	-0.311	0.0716821839903867	0.11100976367886	0.0155	0.0225	0.0193	0.0193	TRUE	0.1984
CNAG_04752	2697	1719	1681	766	656	585	1037	1143	1039	1261	1240	1197	1152.92	1073	1233	1.149	0.201	0.0918593366436488	0.138155953047938	0.0015	0.0184	0.0092	0.0092	TRUE	0.039
CNAG_04753	4219	2406	1751	717	664	683	1623	1600	1082	1180	1255	1397	1356.34	1435	1277	0.89	-0.169	0.350311021069122	0.432827308985494	0.0284	0.0178	0.0226	0.0226	TRUE	0.5592
CNAG_04755	5970	4002	3231	3582	3464	2716	2296	2662	1997	5896	6549	5557	4159.39	2318	6001	2.589	1.372	8.40095207818935e-22	1.31182608833846e-20	0.0134	0.0154	0.0145	0.0145	TRUE	0.2032
CNAG_04756	2083	499	522	378	310	257	801	332	323	622	586	526	531.62	485	578	1.19	0.25	0.420505527706896	0.504561961981167	0.1419	0.0231	0.0675	0.0675	TRUE	3.9039
CNAG_04757	19319	9909	6800	2436	1999	1958	7430	6591	4203	4009	3779	4006	5003.1	6075	3931	0.647	-0.628	0.0012325254385636	0.00292363489574571	0.0382	0.0152	0.0269	0.0269	TRUE	0.6202
CNAG_04758	2380	1100	776	1975	1574	1834	915	732	480	3251	2976	3752	2017.56	709	3326	4.688	2.229	4.92128585498388e-25	9.31607660313569e-24	0.0533	0.0166	0.0329	0.0329	TRUE	0.9581
CNAG_04759	48	24	29	12	6	12	18	16	18	20	11	25	18	17	19	1.059	0.082	0.882725973023413	0.909765791902177	0	0.2753	0.1589	0.1589	TRUE	0.2889
CNAG_04760	4219	1648	2072	2008	1805	1645	1623	1096	1281	3305	3412	3366	2347.09	1333	3361	2.519	1.333	5.57425368987251e-17	6.51322711314931e-16	0.0194	0.0163	0.0178	0.0178	TRUE	0.4412
CNAG_04761	645	304	499	172	133	149	248	202	308	283	251	305	266.35	253	280	1.106	0.145	0.498298498976162	0.580834008868499	0.0246	0.0319	0.0286	0.0286	TRUE	0.2997
CNAG_04762	90998	42347	45443	5872	5754	4952	34999	28165	28089	9665	10878	10132	20321.17	30418	10225	0.336	-1.573	1.88561570385269e-33	5.65434408186268e-32	0.0102	0.0145	0.0122	0.0122	TRUE	0.2127
CNAG_04763	8505	4845	4268	1765	1532	1423	3271	3222	2638	2905	2896	2911	2974.06	3044	2904	0.954	-0.068	0.59311560849129	0.672052245234153	0.007	0.0159	0.0112	0.0112	TRUE	0.1655
CNAG_04764	1948	1153	1107	418	363	332	749	767	684	688	686	679	708.98	733	684	0.933	-0.1	0.445153275866283	0.530007686322172	0	0.0209	0.0105	0.0105	TRUE	0.0408
