Id	WT30_a	WT30_b	WT30_c	SDS_a	SDS_b	SDS_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.SDS_a	norm.SDS_b	norm.SDS_c	baseMean	WT	SDS	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_03566	51666	26233	16676	12281	13584	9531	36638	31916	18869	13509	10807	11325	20510.52	29141	11880	0.408	-1.295	1.82305978029379e-08	6.61176012296925e-07	0.0571	0.0148	0.0381	0.0381	TRUE	0.4311
CNAG_01924	6704	4501	3439	2552	3083	2154	4754	5476	3891	2807	2453	2559	3656.75	4707	2606	0.554	-0.853	2.08876716142255e-08	7.4952480892951e-07	0.0162	0.016	0.0164	0.0164	TRUE	0.1412
CNAG_00052	6657	2888	2204	1556	1352	834	4721	3514	2494	1712	1076	991	2417.71	3576	1260	0.352	-1.506	2.14467296755687e-08	7.65535371893195e-07	0.0967	0.0168	0.0516	0.0516	TRUE	0.1328
CNAG_02896	9963	7537	6610	4460	6039	3826	7065	9170	7479	4906	4804	4546	6328.39	7905	4752	0.601	-0.734	2.35986593927072e-08	8.33573479173647e-07	0.0105	0.0154	0.0123	0.0123	TRUE	0.239
CNAG_07745	179147	71372	39657	24438	36707	22222	127038	86835	44871	26881	29202	26405	56871.98	86248	27496	0.319	-1.649	2.63632984520337e-08	9.16902000521501e-07	0.1149	0.0147	0.0633	0.0633	TRUE	0.0847
CNAG_00407	111561	70487	42980	26403	43210	27787	79111	85758	48631	29042	34376	33017	51655.89	71167	32145	0.452	-1.147	3.28456934789981e-08	1.13075884860185e-06	0.0424	0.0147	0.031	0.031	TRUE	0.9396
CNAG_02263	26706	16207	13791	10664	11033	7278	18938	19718	15604	11730	8777	8648	13902.61	18087	9718	0.537	-0.896	4.20984197767143e-08	1.42515320871129e-06	0.0233	0.015	0.0192	0.0192	TRUE	0.4004
CNAG_04926	887	544	482	316	468	284	629	662	545	348	372	337	482.26	612	352	0.576	-0.795	4.37047523100741e-08	1.46735460478674e-06	0.0044	0.0255	0.0129	0.0129	TRUE	0.104
CNAG_07939	44110	24430	19593	14482	11636	8053	31280	29723	22169	15930	9257	9569	19654.49	27724	11585	0.418	-1.259	4.94709741719042e-08	1.65276919622588e-06	0.0682	0.0148	0.0383	0.0383	TRUE	1.3152
CNAG_00929	3796	2463	2413	1711	2480	1471	2692	2997	2730	1882	1973	1748	2336.93	2806	1868	0.666	-0.586	5.31427237395418e-08	1.75811684098328e-06	0.0029	0.0168	0.0079	0.0079	TRUE	0.0424
CNAG_00519	11906	6993	5562	3495	6009	3455	8443	8508	6293	3844	4780	4105	5995.73	7748	4243	0.548	-0.868	5.34630559596118e-08	1.76012837630139e-06	0.0194	0.0155	0.0182	0.0182	TRUE	0.329
CNAG_00454	1002	492	542	350	486	307	711	599	613	385	387	365	509.8	641	379	0.59	-0.76	5.63087819831489e-08	1.83599115100825e-06	0.004	0.0249	0.012	0.012	TRUE	0.1115
CNAG_06297	29469	11006	9237	4197	8194	5347	20897	13390	10451	4617	6519	6353	10371.32	14913	5830	0.391	-1.355	5.67786238861206e-08	1.84245276170177e-06	0.0814	0.0151	0.0448	0.0448	TRUE	0.3688
CNAG_05144	11636	6623	7914	5586	7219	4630	8251	8058	8955	6144	5743	5501	7108.79	8421	5796	0.688	-0.539	6.94263554401659e-08	2.23151441988249e-06	0.0029	0.0153	0.007	0.007	TRUE	0.0374
CNAG_02165	4572	2615	2202	1645	2178	1528	3242	3182	2492	1809	1733	1816	2378.82	2972	1786	0.601	-0.735	7.57252419444079e-08	2.42249335314611e-06	0.0095	0.0168	0.013	0.013	TRUE	0.2418
CNAG_04687	79286	40986	29786	21451	30096	18622	56224	49866	33702	23595	23943	22127	34909.52	46597	23222	0.498	-1.005	7.70476055940985e-08	2.44176103336063e-06	0.0319	0.0147	0.0252	0.0252	TRUE	0.4244
CNAG_00054	2232	1535	1035	771	885	574	1583	1868	1171	848	704	682	1142.6	1541	745	0.483	-1.049	8.57883083020606e-08	2.7061223576957e-06	0.0317	0.0192	0.0266	0.0266	TRUE	0.1694
CNAG_04748	2393	1505	1522	1131	1489	1017	1697	1831	1722	1244	1185	1208	1481.2	1750	1212	0.693	-0.529	9.24257248798856e-08	2.90199660247863e-06	6e-04	0.0181	0.0064	0.0064	TRUE	0.0195
CNAG_01527	154	107	64	13	37	23	109	130	72	14	29	27	63.81	104	23	0.229	-2.124	9.88700933211028e-08	3.09003213319686e-06	0.0778	0.0974	0.0882	0.0882	TRUE	0.2278
CNAG_06432	33920	18297	13764	10520	13475	8833	24054	22261	15574	11572	10720	10496	15779.27	20630	10929	0.53	-0.917	1.05417782026075e-07	3.26458172466139e-06	0.0247	0.0149	0.0213	0.0213	TRUE	0.5622
CNAG_04816	5197	2545	1869	1236	1939	1116	3685	3096	2115	1360	1543	1326	2187.44	2965	1410	0.475	-1.073	1.50852748372817e-07	4.58781766575985e-06	0.0384	0.017	0.0296	0.0296	TRUE	0.2087
CNAG_03628	4664	2859	2767	1979	2976	1974	3307	3478	3131	2177	2368	2346	2801.09	3305	2297	0.695	-0.525	1.60137547702615e-07	4.82250783617437e-06	0.0019	0.0165	0.0069	0.0069	TRUE	0.0257
CNAG_03873	27459	15403	9451	7696	7538	5010	19472	18740	10694	8465	5997	5953	11553.47	16302	6805	0.417	-1.26	1.70407478603315e-07	5.06887508722666e-06	0.0668	0.015	0.0418	0.0418	TRUE	1.1074
CNAG_04325	3737	2156	1784	1244	1924	1033	2650	2623	2019	1368	1531	1227	1903.02	2431	1375	0.566	-0.821	1.70026147725412e-07	5.06887508722666e-06	0.016	0.0174	0.0172	0.0172	TRUE	0.2655
CNAG_03495	4202	1663	1118	849	773	461	2980	2023	1265	934	615	548	1394.11	2089	699	0.334	-1.581	2.17617993585678e-07	6.3615742780089e-06	0.1267	0.0184	0.066	0.066	TRUE	0.1131
CNAG_04208	4422	2699	2530	1948	2708	1830	3136	3284	2863	2143	2154	2174	2625.61	3094	2157	0.697	-0.52	2.50641297273622e-07	7.17235982324769e-06	0.0018	0.0166	0.0069	0.0069	TRUE	0.0515
CNAG_06484	1235	838	819	561	540	392	876	1020	927	617	430	466	722.41	941	504	0.536	-0.901	2.60025780129973e-07	7.40964218840957e-06	0.0202	0.0219	0.0205	0.0205	TRUE	0.4458
CNAG_03948	14276	8813	8784	6997	8201	5726	10123	10722	9939	7696	6524	6804	8634.88	10261	7008	0.683	-0.55	2.76649681689533e-07	7.81765892174339e-06	0.0044	0.0152	0.0081	0.0081	TRUE	0.0901
CNAG_06065	6259	4025	3162	2466	3206	2107	4438	4897	3578	2713	2551	2504	3446.64	4304	2589	0.601	-0.734	2.8959191116294e-07	8.11575347730189e-06	0.0125	0.0161	0.0144	0.0144	TRUE	0.2645
CNAG_02043	676	379	369	208	360	204	479	461	418	229	286	242	352.6	453	252	0.559	-0.839	3.001158341438e-07	8.37607237515741e-06	0.0062	0.0296	0.0162	0.0162	TRUE	0.163
