Id	WT30_a	WT30_b	WT30_c	WTST30_a	WTST30_b	WTST30_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.WTST30_a	norm.WTST30_b	norm.WTST30_c	baseMean	WT	WTST30	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_01562	18563	11937	12315	14306	11687	8885	7140	7939	7612	23547	22095	18178	14418.44	7564	21273	2.813	1.492	7.63540761276058e-30	1.92361179894715e-28	0.0098	0.0146	0.0124	0.0124	TRUE	0.1978
CNAG_03546	1062	524	561	637	594	564	408	349	347	1048	1123	1154	738.18	368	1108	3.006	1.588	8.52159825716587e-30	2.13892116254863e-28	0.0046	0.0207	0.0125	0.0125	TRUE	0.1143
CNAG_04561	1578	969	965	991	872	727	607	644	596	1631	1649	1487	1102.49	616	1589	2.581	1.368	1.09053224765259e-29	2.71710920674324e-28	0.0011	0.0186	0.0095	0.0095	TRUE	0.0367
CNAG_01193	69	68	93	236	228	161	27	45	57	388	431	329	213.02	43	383	9.003	3.17	2.24530463597228e-29	5.49329585486792e-28	0.0691	0.0364	0.0483	0.0483	TRUE	0.7071
CNAG_03838	147	74	83	162	139	157	57	49	51	267	263	321	167.95	52	284	5.388	2.43	2.84772373891939e-29	6.91721282389129e-28	0	0.0423	0.0252	0.0252	TRUE	0.1375
CNAG_02548	1868	1039	1292	1134	993	996	718	691	799	1866	1877	2038	1331.61	736	1927	2.618	1.388	3.24237826959778e-29	7.84771340466577e-28	0.0031	0.0178	0.0102	0.0102	TRUE	0.0655
CNAG_04782	3076	1800	1886	1680	1364	1332	1183	1197	1166	2765	2579	2725	1935.85	1182	2690	2.276	1.186	3.37309443573731e-29	8.13503949857358e-28	0	0.0167	0.0075	0.0075	TRUE	0.0157
CNAG_07827	10	6	7	75	75	46	4	4	4	123	142	94	61.92	4	120	29.746	4.895	4.84774781499858e-29	1.14871283014844e-27	0	0.0902	0.0639	0.0639	TRUE	0.093
CNAG_06831	166	153	208	413	353	288	64	102	129	680	667	589	371.76	98	645	6.628	2.729	6.52801167646213e-29	1.54147509168585e-27	0.0572	0.0269	0.0388	0.0388	TRUE	1.0979
CNAG_00302	344	198	279	404	327	262	132	132	172	665	618	536	375.94	145	606	4.179	2.063	7.67772225777907e-29	1.79420426692996e-27	0.0143	0.0268	0.0213	0.0213	TRUE	0.2867
CNAG_00826	957	426	328	810	780	697	368	283	203	1333	1475	1426	848	285	1411	4.943	2.306	8.47593183486398e-29	1.96045699811854e-27	0.0403	0.0198	0.0293	0.0293	TRUE	0.7897
CNAG_06546	35	24	48	133	120	106	13	16	30	219	227	217	120.29	20	221	11.383	3.509	1.02038539636999e-28	2.35209245959164e-27	0.0538	0.0534	0.0535	0.0535	TRUE	1.338
CNAG_02512	1213	923	1094	1242	1060	969	467	614	676	2044	2004	1983	1297.9	586	2010	3.439	1.782	1.28866993638806e-28	2.96044615555997e-27	0.0173	0.0179	0.0176	0.0176	TRUE	0.3886
CNAG_04874	564	319	438	652	512	378	217	212	271	1073	968	773	585.72	233	938	4.029	2.01	1.62751390203747e-28	3.726237065577e-27	0.0206	0.0223	0.0216	0.0216	TRUE	0.1732
CNAG_02706	102	36	79	257	216	125	39	24	49	423	408	256	199.85	37	362	9.684	3.276	2.30069657987101e-28	5.24977128679658e-27	0.0821	0.0378	0.0535	0.0535	TRUE	0.7759
CNAG_05089	394	218	210	361	302	229	152	145	130	594	571	469	343.33	142	545	3.831	1.938	3.19774554855967e-28	7.24786675002973e-27	0.0074	0.028	0.0187	0.0187	TRUE	0.1644
CNAG_05426	317	156	229	320	243	257	122	104	142	527	459	526	313.19	123	504	4.115	2.041	3.6150419263358e-28	8.16637971159256e-27	0.0092	0.0293	0.0207	0.0207	TRUE	0.1932
CNAG_02775	45765	33211	32475	30722	27298	23544	17602	22089	20073	50566	51608	48170	35017.98	19921	50115	2.516	1.331	4.05268503483879e-28	9.09438625202069e-27	0.0069	0.0144	0.0105	0.0105	TRUE	0.1271
CNAG_03717	285	162	229	314	239	253	110	108	142	517	452	518	307.53	120	496	4.149	2.053	4.96345814380278e-28	1.10286412591972e-26	0.01	0.0296	0.021	0.021	TRUE	0.2727
CNAG_07456	251	87	90	263	231	239	97	58	56	433	437	489	261.44	70	453	6.399	2.678	5.7444754579156e-28	1.27223235876778e-26	0.044	0.0323	0.037	0.037	TRUE	1.2253
CNAG_02189	21862	12864	13959	11925	9883	8446	8408	8556	8628	19628	18684	17280	13530.75	8531	18531	2.172	1.119	6.2105825864317e-28	1.37098104847712e-26	0.002	0.0146	0.0074	0.0074	TRUE	0.0425
CNAG_01262	1016	656	545	745	674	549	391	436	337	1226	1274	1123	797.94	388	1208	3.115	1.639	6.33459642603043e-28	1.39381688244183e-26	0.0086	0.0202	0.0147	0.0147	TRUE	0.1529
CNAG_06501	5697	3826	3271	4109	3292	2797	2191	2545	2022	6763	6224	5723	4244.5	2253	6237	2.769	1.47	6.66025384333926e-28	1.46072945942751e-26	0.01	0.0154	0.0127	0.0127	TRUE	0.1558
CNAG_01117	77476	46417	46436	37162	36126	31068	29798	30872	28702	61166	68298	63564	47066.72	29791	64343	2.16	1.111	7.07735059906141e-28	1.54720016160771e-26	0.0022	0.0144	0.0074	0.0074	TRUE	0.0354
CNAG_01059	1498	911	750	950	924	852	576	606	464	1564	1747	1743	1116.55	549	1685	3.069	1.618	7.42974118320727e-28	1.61901466233427e-26	0.0106	0.0185	0.0147	0.0147	TRUE	0.2162
CNAG_03939	4770	2446	2551	2410	2128	1922	1835	1627	1577	3967	4023	3932	2826.72	1680	3974	2.365	1.242	8.75835017244766e-28	1.89029742416171e-26	0.0027	0.016	0.0089	0.0089	TRUE	0.0804
CNAG_03117	1472	871	1122	1148	1019	792	566	579	694	1890	1926	1620	1212.56	613	1812	2.959	1.565	1.92283124766224e-27	4.12374283715411e-26	0.0091	0.0182	0.014	0.014	TRUE	0.1571
CNAG_01174	8366	5196	4336	5000	4478	3904	3218	3456	2680	8230	8466	7987	5672.76	3118	8228	2.639	1.4	2.03306957959826e-27	4.34640774162063e-26	0.0082	0.0151	0.0118	0.0118	TRUE	0.1833
CNAG_00332	1313	933	990	1122	919	757	505	621	612	1847	1737	1549	1145.07	579	1711	2.959	1.565	2.72291600021616e-27	5.7847027377633e-26	0.0096	0.0184	0.0141	0.0141	TRUE	0.1546
CNAG_05677	1920	1414	1670	1707	1506	1319	738	940	1032	2810	2847	2699	1844.42	903	2785	3.085	1.625	3.67040090102887e-27	7.74900526675161e-26	0.0131	0.0168	0.0157	0.0157	TRUE	0.3147
CNAG_02484	133	63	103	164	157	170	51	42	64	270	297	348	178.55	52	305	5.824	2.542	4.20206578697624e-27	8.84391299327267e-26	0.0178	0.0406	0.0318	0.0318	TRUE	0.3197
CNAG_00539	23263	15328	10087	19041	16219	15105	8947	10195	6235	31340	30663	30904	19713.98	8459	30969	3.661	1.872	5.13801156437592e-27	1.07802799912618e-25	0.0286	0.0145	0.0217	0.0217	TRUE	0.6465
CNAG_03432	2038	1048	970	1160	1052	993	784	697	600	1909	1989	2032	1335.03	694	1977	2.847	1.509	5.40065246614919e-27	1.12963647416954e-25	0.0088	0.0178	0.0133	0.0133	TRUE	0.1682
CNAG_06498	1881	1109	749	1581	1300	1227	723	738	463	2602	2458	2510	1582.39	641	2523	3.933	1.976	6.14283071518082e-27	1.28092196174709e-25	0.0318	0.0173	0.0236	0.0236	TRUE	0.7043
CNAG_04474	282	145	220	284	251	222	108	96	136	467	475	454	289.51	113	465	4.098	2.035	7.38722981545515e-27	1.53568271347667e-25	0.0092	0.0305	0.0215	0.0215	TRUE	0.3074
CNAG_05018	204	114	143	191	180	171	78	76	88	314	340	350	207.87	81	335	4.139	2.049	7.57571237573837e-27	1.57004901438468e-25	0	0.0369	0.0201	0.0201	TRUE	0.0646
CNAG_00540	112	68	48	151	127	117	43	45	30	249	240	239	141	39	243	6.153	2.621	9.0579873698909e-27	1.87152379285825e-25	0.001	0.0476	0.0324	0.0324	TRUE	0.384
CNAG_01255	6174	3597	3402	3479	3004	2471	2375	2392	2103	5726	5679	5056	3888.45	2290	5487	2.396	1.261	9.68262611298768e-27	1.99450325737743e-25	0.0044	0.0155	0.0097	0.0097	TRUE	0.062
CNAG_00456	7264	3809	3016	4581	4273	4448	2794	2533	1864	7540	8078	9100	5318.36	2397	8239	3.436	1.781	1.71436356900625e-26	3.47851554106448e-25	0.0242	0.0152	0.0199	0.0199	TRUE	0.46
CNAG_00964	452	317	417	492	450	376	174	211	258	810	851	769	512.04	214	810	3.794	1.924	2.16953272323501e-26	4.38893231801901e-25	0.0184	0.0235	0.0212	0.0212	TRUE	0.3657
CNAG_02206	28	8	15	73	69	63	11	5	9	120	130	129	67.48	8	126	14.559	3.864	2.45507055976248e-26	4.92248910754744e-25	0	0.0839	0.057	0.057	TRUE	0.3878
CNAG_02658	3040	2151	2234	2294	1926	1574	1169	1431	1381	3776	3641	3220	2436.33	1327	3546	2.674	1.419	2.64499121367588e-26	5.28764172716267e-25	0.008	0.0162	0.0124	0.0124	TRUE	0.1329
CNAG_06705	171	121	170	257	259	190	66	80	105	423	490	389	258.79	84	434	5.207	2.38	2.80343974003401e-26	5.5879150347678e-25	0.0286	0.0325	0.0309	0.0309	TRUE	0.5166
